parent_asin,amazon_title,amazon_store,dsld_id,dsld_full_name,dsld_brand_name,match_score,match_reason,is_false
B017L72WFU,Tiger's Jump The Most Effective Male Enhancement Supplement,New Valley Products,233616,Male Enhancement,Malemax,0.9,substring,False
B07WP4YPHR,Dog Dental Stone Remover Set of 3 | Sonic Toothbrush for Pets | Professional Dental Plaque Removal kit for Pets at Home or Clinic,ICARE-PET,264779,Professional,ENZO,0.9,substring,False
B09238GYGH,Blue Ridge Silver - 10 ppm 16 oz Colloidal Silver Natural Immune Support Health Supplement - with Free Refillable Dropper Bottle,SelfCare Plus,262655,Immune Support,Divine Health,0.9,substring,False
B0032AIFQ6,Biotics Research Bioctasol Forte 90 Tablets,SUNATOR,21434,Bioctasol Forte,Biotics Research Corporation,0.9,substring,False
B08ZK8ZBJV,The Collagen (Powder) Increases Volume,Shiseido The Collagen,328935,Collagen Powder,Absolute Nutrition,0.9,substring,False
B09M9WV232,10 Pack Sleep Mask Silk Sequins Sleeping Eye Mask Blackout Eye Mask Sleeping with Adjustable Strap for Women Men Travel/Naps,X Hot Popcorn,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B07V5DP1GK,"Bath Sponge Compressed, Comfortable and Soft Body Protector, Best Choice for Baby, Kids, Women, and Men, Natural Cellulose, Multiple Colour, 4 Pieces",ALL PRIDE,2893,Men's Multiple,Radiance Select,0.7,high_token_overlap,False
B07NP1MZ8C,"Niven Morgan, Lavender Mint Bath Soak, 22 Ounces",Niven Morgan,331963,Lavender,Hawaii Pharm,0.6,short_substring,False
B08NZTJL7G,"Spine Deck Back Stretcher - Spine Deck Reviews, Spine Stretcher for Back Relief, Spinal Decompression Machine for Better Back, Multi-Level Back Aligner for Posture Pro, Solid Back Lower Back Stretcher",Ograu,263602,Multi Pro,Innovative Apothecary Solutions,0.7,high_token_overlap,False
B01LWMCDMY,"Daily Manufacturing Ener-Cell Cellular Energy Support, 60 Capsules",Daily Manufacturing,247317,Energy Support,Douglas Cooper Co.,0.9,substring,False
B08B84C2HC,Flat Foot Insole High Arch Support Plantar Fasciitis Shoes Inserts for Women and Men Orthotic Height Increase Pain Relief Insole Work Boots,AUPERF,181665,High T Women,High T,0.7,high_token_overlap,False
B082758865,powdermint BCAA Powder 250 Grams (8.8 oz) 50 Servings Instantized 2:1:1 Branch Chain Amino Acids 100% Pure Unflavored,powdermint,262854,BCAA 4:1:1 Unflavored,Muscle Feast,0.7,high_token_overlap,False
B06452H2ZQ,Bride Wedding Kit to Shower Center for Hen,jdfkim Honbeanify,1001197,Blood kuyawo Pressure,Extension Life yhkxvn,0.82,high_token_overlap,True
B08FF4766D,"Air Wick Pure Freshmatic Refill Automatic Spray, Florida Keys Coconut Water, 5.89oz, Air Freshener (Pack of 4)",Air Wick,311368,Coconut Water Powder,BulkSupplements.com,0.7,high_token_overlap,False
B01LOMJRB0,Pureflex Odor Eliminating Scented Beads Lavender Vanilla 12 Oz (Pack of 2),,279023,Lavender,Ron Teeguarden's Dragon Herbs My Cup of Tee,0.6,short_substring,False
B0BNLLFZXC,"Neurogan Apple Cider Vinegar Gummies - 60 Vegan ACV Gummies 1550mg - Supplement for Healthy Metabolism, Digestion, Detox, Immune - Powerful Cleanser & Appetite Suppressant Non-GMO",Neurogan,81934,Apple Cider Vinegar,Nature's Life,0.9,substring,False
B09YXJNTSD,"MyEnergy Boost Coffee Fruit Extract Powder - 30 Servings - Clean Caffeine Source, Antioxidant, Energy Booster - Organic, Non-GMO, Vegan Health Supplement - Add to Smoothies, Shakes, Salads & Food",SMÜTHE,3094,Energy Boost,CraniYums,0.9,substring,False
B005ES812W,Paradex Herbal Formula,Progressive Laboratories Inc.,20236,Herbal Formula 1,AB American Biologics,0.7,high_token_overlap,False
B00XAS3IQW,"Hunter Jack Beard Grooming Kit for Men, 3pc - Metal Comb, Beard Scissors, Straight Razor - Great for Grooming, Trimming & Styling Your Mustache and Beard - Premium Gift Box - Free eBook",Hunter Jack,230030,Metal-Free,BodyHealth,0.7,high_token_overlap,False
B0BVMT3362,"CROUVM Pack of 30 Disposable Sleep Eye Mask for Men Women, Blindfold Eye Mask Shade Cover for Sleeping, Night Sleep Mask, Block Out Light, Soft Comfort Eye Shade Cover for Travel Yoga Nap",CROUVM,81159,For A Night Out,Sense,0.7,high_token_overlap,False
B01M0XQPY5,"Bayer(r) Pro Ultra Omega-3 Dietary Supplement, 100 count - Buy Packs and SAVE (Pack of 3)",Bayer,239726,Ultra Omega-3,Bayer Pro,1.0,substring+brand,False
B07CZNJTCR,"Ultimate Baby Bath Tub Knee Pad, Elbow Pad, Infant Toddler Newborn, Kneeler Pad Cushion, Extra Thick, Non Slip, Suction Cup, Premium Kneeling Pad, Gray Grey Polka Dot by Knee Elbow Rest Cushion",Knee Nanny,252333,Ultimate,Nugenix,0.6,short_substring,False
