URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/332294,332294,Melatonin 5 mg Strawberry,Natrol,0 47469 07585 9,60 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-06-25,On Market,Suggested use: Adults; take 1 gummy 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332295,332295,Melatonin 5 mg Strawberry,Natrol,0 47469 07725 9,90 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-05-21,On Market,Suggested use: Adults; take 1 gummy 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332296,332296,Melatonin 5 mg Strawberry,Natrol,0 47469 07332 9,90 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-06-25,On Market,Suggested use: Adults; take 1 gummy 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332297,332297,Melatonin 5 mg Strawberry,Natrol,0 47469 07686 3,140 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-07-24,On Market,Suggested Use: Adults; take 1 gummy 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332298,332298,MelatoninMax 10 mg Blueberry,Natrol,0 47469 07979 6,80 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-06-25,On Market,Suggested Use:  Adults; take 1 gummy 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332299,332299,Mood Positive 5-HTP,Natrol,0 47469 05233 1,50 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2025-06-25,On Market,Suggested use: Adults; take 1 tablet 1-2 times daily with a meal.
https://dsld.od.nih.gov/label/332300,332300,Relax+ Ultimate Calm,Natrol,0 47469 07413 5,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2025-06-25,On Market,Suggested use: Adults; take 1 capsule daily with or without food.
https://dsld.od.nih.gov/label/332301,332301,Sleep+ Calm,Natrol,0 47469 07914 7,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2025-06-25,On Market,Suggested use: Adults; take 1 capsule 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332302,332302,Sleep+ Immune Health,Natrol,0 47469 07912 3,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2025-07-24,On Market,Suggested use: Adults; take 1 capsule 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332303,332303,Sleep+ Recovery,Natrol,0 47469 07915 4,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2025-07-24,On Market,Suggested use: Adults; take 1 capsule 30 minutes before bedtime.
https://dsld.od.nih.gov/label/332304,332304,Vitamin B-12 5000 mcg Fast Dissolve Strawberry,Natrol,0 47469 06672 7,100 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2025-06-25,On Market,Suggested use: Adults; take 1 tablet daily. No water necessary.
https://dsld.od.nih.gov/label/332306,332306,Vitamin D3 2000 IU Fast Dissolve Strawberry,Natrol,0 47469 05889 0,90 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2025-05-21,On Market,
https://dsld.od.nih.gov/label/332307,332307,Melatonin 1 mg Raspberry,Natrol Kids,0 47469 07692 4,60 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-06-25,On Market,Suggested use: For children ages 4 and up; take 1 gummy 30 minutes before bedtime. Chew thoroughly before swallowing.
https://dsld.od.nih.gov/label/332308,332308,Melatonin 1 mg Fast Dissolve Strawberry,Natrol Kids,0 47469 07697 9,30 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2025-06-25,On Market,Suggested use: For children ages 4 and up; take 1 tablet 30 minutes before bedtime. Dissolve in mouth or chew before swallowing. No water necessary.
https://dsld.od.nih.gov/label/332309,332309,Melatonin 1 mg Raspberry,Natrol Kids,0 47469 07530 9,90 Gummy(ies),1 Gummy(ies),Non-Nutrient/Non-Botanical [A1309],Gummy or Jelly [E0176],2025-07-24,On Market,Suggested use: For children ages 4 and up; take 1 gummy 30 minutes before bedtime. Chew thoroughly before swallowing.
https://dsld.od.nih.gov/label/332310,332310,Creatine Chews Citrus Burst,MuscleTech,6 31656 61070 3,90 Chewable Tablet(s),3 Chewable Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2025-07-24,On Market,No shaker; No powder; no messMuscleTech Creatine Chews are delicious and convenient; so not you can take your creatine on-the-go and leave the mess behind! Directions: Fully chew 1 serving (3 chewable tablets) and consume 1 to 2 times daily. On workout days; take 1 serving (3 chewable tablets) in the morning and 1 serving (3 chewable tablets)post-workout For best results; chew thoroughly before swallowing. Maintain an adequate state of hydration during use. Read the entire label before use and follow directions provided.
