URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/200260,200260,SR9009,Swoll Mafia,,,,,,no,yes,no,no,no
https://dsld.od.nih.gov/label/200261,200261,SWOLL,Swoll Mafia,,,,,,no,yes,no,no,no
https://dsld.od.nih.gov/label/200262,200262,Children's Chewable Inner Ear Support Natural Cherry Flavor,Natural Organics Laboratories Inc. makers of Nature's Plus,9500 New Horizons Blvd.,Amityville,New York,11701,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/200263,200263,YK-11,Swoll Mafia,,,,,,no,yes,no,no,no
https://dsld.od.nih.gov/label/200264,200264,Stone Breaker,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200265,200265,Stone Breaker,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200266,200266,Stone Breaker,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200267,200267,Female Tonic Formula,Wholistic Botanicals L.L.C.,,Spanish Fork,UT,84660,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200268,200268,Stress Manager,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200269,200269,Citicoline CDP Choline 250 mg,Jarrow Formulas Superior Nutrition and Formulation,P.O. Box 35994,Los Angeles,CA,90035-4317,,no,yes,no,no,no
https://dsld.od.nih.gov/label/200270,200270,Vitamin D3 500 IU Natural Black Cherry Flavor,Natural Organics Laboratories Inc. makers of Nature's Plus,9500 New Horizons Blvd.,Amityville,New York,11701,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/200272,200272,Stress Manager,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200273,200273,Stress Manager,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200274,200274,Suma,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
https://dsld.od.nih.gov/label/200275,200275,Thyroid Calming,Herb Pharm,,Williams,OR,97544,,yes,no,no,no,no
