ingredient_group,reaction,products_with_group,products_with_reaction,products_with_both,lift,chi2,p_value
Iodine,choking,56,24,6,2.96,6.76,0.009305297431318553
Vitamin D,foreign body,112,13,6,2.74,6.12,0.013366092062061892
Biotin,foreign body,56,13,3,2.74,2.0,0.15713007984790148
Iodine,foreign body,56,13,3,2.74,2.0,0.15713007984790148
Folate,abdominal pain upper,60,53,13,2.71,14.83,0.00011751792545609939
Vitamin B6,choking,82,24,8,2.7,8.22,0.0041483884083277
Riboflavin,choking,63,24,6,2.63,5.23,0.02221779853394576
Potassium,foreign body,78,13,4,2.62,2.95,0.08610436282629222
Folate,foreign body,60,13,3,2.55,1.68,0.19538125290146674
Chromium,foreign body,60,13,3,2.55,1.68,0.19538125290146674
Vitamin B6,foreign body,82,13,4,2.49,2.6,0.10674473013205461
Thiamin,foreign body,62,13,3,2.47,1.53,0.2156473546821255
Biotin,choking,56,24,5,2.47,3.43,0.06396248737582338
Vitamin B12,choking,91,24,8,2.43,6.48,0.010902157576463642
Riboflavin,foreign body,63,13,3,2.43,1.47,0.2260383928135318
Riboflavin,abdominal pain upper,63,53,12,2.39,10.0,0.0015660544304312576
Vitamin D,dysphagia,112,20,8,2.37,6.26,0.012347219205683341
Iodine,dysphagia,56,20,4,2.37,2.19,0.13846871953462112
Biotin,dysphagia,56,20,4,2.37,2.19,0.13846871953462112
Niacin,choking,71,24,6,2.34,3.9,0.04839532909609679
Chromium,choking,60,24,5,2.31,2.86,0.09089505087644863
Folate,choking,60,24,5,2.31,2.86,0.09089505087644863
Niacin,abdominal pain upper,71,53,13,2.29,10.02,0.0015444683490263918
Vitamin E,choking,86,24,7,2.25,4.41,0.035718472523067576
Selenium,foreign body,68,13,3,2.25,1.17,0.2802725791323327
Biotin,abdominal pain upper,56,53,10,2.24,6.72,0.009543439558247756
Thiamin,choking,62,24,5,2.23,2.61,0.10646127918464161
Vitamin D,choking,112,24,9,2.22,6.11,0.013443259768717875
Chromium,dysphagia,60,20,4,2.21,1.8,0.18005124988057758
Folate,dysphagia,60,20,4,2.21,1.8,0.18005124988057758
Niacin,foreign body,71,13,3,2.16,1.01,0.3143767315965894
Vitamin B6,abdominal pain upper,82,53,14,2.14,9.16,0.002470019951163889
Thiamin,dysphagia,62,20,4,2.14,1.62,0.2026718663346006
Potassium,dysphagia,78,20,5,2.13,2.3,0.12937903794792355
Riboflavin,dysphagia,63,20,4,2.11,1.54,0.21440684907157587
Vitamin A,foreign body,74,13,3,2.07,0.88,0.34942900582158065
Fat (unspecified),dysphagia,113,20,7,2.06,3.5,0.061368724525157695
Selenium,choking,68,24,5,2.03,1.96,0.16137578132365724
Thiamin,abdominal pain upper,62,53,10,2.02,5.02,0.025098340129201015
Iron,foreign body,78,13,3,1.96,0.72,0.3973485243301461
Selenium,dysphagia,68,20,4,1.95,1.18,0.27693060919041657
Zinc,choking,100,24,7,1.94,2.81,0.09345844314063537
Vitamin B12,abdominal pain upper,91,53,14,1.93,6.74,0.009410616182785388
Vitamin E,dysphagia,86,20,5,1.93,1.67,0.1965944496758985
Vitamin C,abdominal pain upper,127,53,19,1.87,9.27,0.0023280578702665347
Vitamin A,choking,74,24,5,1.87,1.45,0.22781547942999703
Niacin,dysphagia,71,20,4,1.87,1.0,0.3171567125910829
