category,total,with_events,avg_severity,event_rate,kind
Single Vitamin and Mineral,14,10,2.2142857142857144,0.7142857142857143,product_type
Multi-Vitamin and Mineral (MVM),20,13,1.95,0.65,product_type
Mineral,75,37,1.5333333333333334,0.49333333333333335,product_type
Vitamin,57,28,1.8771929824561404,0.49122807017543857,product_type
Other Combinations,508,248,1.6279527559055118,0.4881889763779528,product_type
Non-Nutrient/Non-Botanical,171,82,1.6608187134502923,0.47953216374269003,product_type
Fat/Fatty Acid,114,54,1.3859649122807018,0.47368421052631576,product_type
Botanical with Nutrients,94,43,1.4148936170212767,0.4574468085106383,product_type
Botanical,232,104,1.5387931034482758,0.4482758620689655,product_type
Amino acid/Protein,93,39,1.4086021505376345,0.41935483870967744,product_type
Fiber and Other Nutrients,17,6,0.9411764705882353,0.35294117647058826,product_type
Tablet or Pill,210,120,1.9095238095238096,0.5714285714285714,form
Gummy or Jelly,49,27,1.9387755102040816,0.5510204081632653,form
Other (e.g. tea bag),48,26,1.8541666666666667,0.5416666666666666,form
Softgel Capsule,169,84,1.4911242603550297,0.4970414201183432,form
Capsule,574,264,1.5540069686411149,0.45993031358885017,form
Liquid,86,39,1.441860465116279,0.45348837209302323,form
Powder,255,102,1.3294117647058823,0.4,form
