ingredient_group,products_with_events,avg_severity,max_severity,pct_hospitalization,top_reactions
Passionflower,3,6.33,7,100.0,"headache (2), dyspnoea (2), cerebral haemorrhage (2), convulsion (2), dizziness (2)"
Valerian,3,6.0,7,100.0,"headache (2), dyspnoea (2), convulsion (2), dizziness (2), hypersensitivity (2)"
L-Carnitine,4,5.5,7,100.0,"chest discomfort (2), dyspnoea (2), nausea (2), vomiting (2), body temperature increased (1)"
European Elder,7,5.43,6,100.0,"vomiting (4), diarrhoea (3), nausea (3), palpitations (2), gastroenteritis (2)"
Pumpkinseed Oil,3,5.33,6,100.0,"international normalised ratio increased (1), headache (1), palpitations (1), hepatic enzyme increased (1), convulsion (1)"
Cordyceps,3,5.33,6,100.0,"seizure (1), hospitalisation (1), feeling hot (1), heart rate increased (1), paraesthesia (1)"
Acai,4,5.0,6,75.0,"increased bronchial secretion (1), productive cough (1), chest pain (1), diarrhoea (1), dizziness (1)"
Noni,3,5.0,6,66.7,"increased bronchial secretion (1), productive cough (1), activities of daily living impaired (1), vertigo (1), ovarian cyst (1)"
Nickel,7,4.86,7,85.7,"dysphagia (4), choking (4), burning sensation (3), foreign body (3), abdominal pain upper (3)"
Hyaluronic acid,9,4.78,6,88.9,"pain (3), feeling abnormal (2), blood pressure increased (2), tremor (2), chest pain (2)"
Garlic,8,4.75,6,87.5,"nausea (3), dyspnoea (3), palpitations (2), gastroenteritis (2), vomiting (2)"
St. John's Wort,4,4.75,7,75.0,"headache (2), dyspnoea (2), convulsion (2), dizziness (2), hypersensitivity (2)"
Lysine,4,4.75,7,75.0,"death (1), malaise (1), myocardial infarction (1), dizziness (1), cough (1)"
Pomegranate,9,4.67,7,66.7,"chest pain (2), diarrhoea (2), dizziness (2), nausea (2), pain (2)"
Glutamine,5,4.6,6,80.0,"blood creatine phosphokinase increased (2), convulsion (2), abdominal pain (1), candidiasis (1), dehydration (1)"
Tin,6,4.5,6,83.3,"burning sensation (3), dysphagia (3), choking (3), dyspnoea (2), foreign body (2)"
Resveratrol,8,4.5,6,75.0,"increased bronchial secretion (1), productive cough (1), activities of daily living impaired (1), vertigo (1), ovarian cyst (1)"
Goji,5,4.4,6,60.0,"increased bronchial secretion (1), productive cough (1), activities of daily living impaired (1), vertigo (1), ovarian cyst (1)"
Boswellia,6,4.33,6,83.3,"blood pressure increased (3), cerebrovascular accident (2), abdominal distension (2), heart rate increased (2), pain (2)"
Olive,11,4.27,7,72.7,"vomiting (3), insomnia (3), hypersensitivity (2), diarrhoea (2), gastroenteritis (2)"
